Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"CE,Drainage,Cuttack||SE,Drainage,Balasore||EE Drainage Divn. Jajpur","ACEDC,BLS/DDJPR-02-11/2023-24",2023_CEDC_97153_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, Contractor RC, Affidavits, Undertakings and Other documents as per DTCN",17-Nov-2023 10:00 AM,02-Dec-2023 11:30 AM,17-Nov-2023 10:00 AM,01-Dec-2023 05:00 PM,17-Nov-2023 10:00 AM ,24-Nov-2023 05:00 PM ,17-Nov-2023 10:00 AM,01-Dec-2023 05:00 PM,25-Jan-2024 11:30 AM,"5,56,113",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"Addl. Chief Engineer, Drainage Circle, Balasore","O/o the Addl. Chief Engineer, Drainage Circle, Balasore-756001",Construction of Strom water Drain in Sayedpur village of Binjharpur Block under Jajpur District in Brahmani-Baitarani DOAB No-XIV,IMPROVEMENT WORKS TO DRAINAGE CHANNEL,Please refer Tender documents. ,NA ,"5,56,11,263",Civil Works - Others,NA ,Tender,90.0,330.0,Jajpur,755004.0,NA ,NA ,NA ,"Addl. Chief Engineer, Drainage Circle, Balasore",No ,No,AOC,13-Jun-2024,"INR 55,611,263.37",330.0,DILLIP MOHAPATRA,13-Jun-2024 11:23 AM,AOC_11.pdf (303.00 KB),Contract Awarded,1.0,2339609.0,KALASHREE PRATIK JENA,INR,"47,275,134.99",1,2338860,ABHIJIT MOHANTY,29-Nov-2023 01:37 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,Finance,29 Nos. of Bidder are Qualified in Financial Evaluation and Downloaded Successfully.,DILLIP MOHAPATRA,25-Jan-2024 03:15 PM,finance_474404.pdf,BOQ Comparative Chart,"Shri Dipak Ranjan Behera ACE, Drainage Circle, Balasore",Internal,"ACE, Drainage Circle, Balasore, Asst.to ACE,Drainage Circle, Balasore, Estimator, Drainage Circle, Balasore",DILLIP MOHAPATRA,28-Feb-2024 05:25 PM,finsummary_474404.pdf (671.63 KB),"CE,Drainage,Cuttack||SE,Drainage,Balasore||EE Drainage Divn. Jajpur",2023_CEDC_97153_1,"ACEDC,BLS/DDJPR-02-11/2023-24",Construction of Strom water Drain in Sayedpur village of Binjharpur Block under Jajpur District in Brahmani-Baitarani DOAB No-XIV,Technical,31 Nos. of Bidders Participated for the above work and downloaded successfully.,DILLIP MOHAPATRA,03-Dec-2023 07:36 AM,technical_474404.pdf,"Additional Chief Engineer, Draiange Circle, Balasore",Internal,"Additional Chief Engineer, Draiange Circle, Balasore, Asst. to ACE, Draiange Circle, Balasore, Estimator, Draiange Circle, Balasore,",DILLIP MOHAPATRA,22-Jan-2024 03:59 PM,25-Jan-2024 11:30 AM,techsummary_474404.pdf (494.21 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2340055,ABHIRAM DASH,30-Nov-2023 12:23 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2340808,ADITYA PRASAD MOHANTY,01-Dec-2023 11:15 AM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2341166,AMRITA DAS,01-Dec-2023 01:31 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2340212,BHARAT JENA,30-Nov-2023 01:18 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2341201,BIKRAM KESHARI ROUTARAY,01-Dec-2023 02:03 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2339891,BIRAJA PRASAD SAMAL,01-Dec-2023 10:59 AM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2338687,BISHAL DAS,29-Nov-2023 12:09 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2341149,CHIRANJEEV SAMAL,01-Dec-2023 01:20 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2334830,DHIRENDRA KUMAR NAYAK,30-Nov-2023 07:51 PM,Rejected-Finance,Dis-qualified through Transparent Lottery.,28-Feb-2024 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
