Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Puri Municipality,P.M. 05/23-24,2024_ORULB_100899_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF OR UNDERTAKING FOR EPF and AFFIDAVIT ANY OTHER AS PER DTCN",17-Feb-2024 03:00 PM,28-Feb-2024 11:00 AM,17-Feb-2024 03:00 PM,27-Feb-2024 05:00 PM,NA ,NA ,17-Feb-2024 03:00 PM,27-Feb-2024 05:00 PM,"8,366",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"4,720",0.0,Nil,Nil,No,"EXECUTIVE OFFICER, PURI MUNICIPALITY",VIP ROAD,Construction of C.C/ Paver Block from Beach Hut to Naren Palace in ward No-25,CIVIL,Please refer Tender documents. ,NA ,"8,36,556",Civil Works - Others,NA ,Tender,120.0,45.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,AOC,26-Sep-2024,"INR 711,156.35",45.0,Jayanta Kumar Maitra,26-Sep-2024 11:39 AM,ProcedingPm05-23-24.pdf (6645.00 KB),1.0,2458132.0,ASWINI KUMAR PRADHAN,INR,"711,156.35",1,2462006,ASIT KUMAR MEKAP,27-Feb-2024 04:42 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,Finance,"10 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Debabrata Sarangi,29-Feb-2024 12:53 PM,finance_492629.pdf,BOQ Comparative Chart,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,26-Sep-2024 11:37 AM,finsummary_492629.pdf (6645.08 KB),Municipal Bodies||Puri Municipality,2024_ORULB_100899_35,P.M. 05/23-24,Construction of C.C/ Paver Block from Beach Hut to Naren Palace in ward No-25,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,26-Sep-2024 11:34 AM,techsummary_492629.pdf (6645.08 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2458132,ASWINI KUMAR PRADHAN,27-Feb-2024 03:10 PM,Accepted-AOC,WON BY LOTTERY PROCESS,26-Sep-2024 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2455715,DEBASIS PATTANAIK,26-Feb-2024 12:25 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2461506,GEETANJALI ENTERPRISER,27-Feb-2024 02:42 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2462521,KAIBALYA BARAL,27-Feb-2024 03:03 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2461933,Prasanta Samartha,27-Feb-2024 12:06 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2456852,RAKESH BISWAL,24-Feb-2024 04:32 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2457926,SANGRAM KUMAR BISWAL,25-Feb-2024 01:39 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2461748,SANJIT KUMAR SAHOO,27-Feb-2024 10:42 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2459549,SOUMYA RANJAN DAS,26-Feb-2024 04:32 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,26-Sep-2024 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
