Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",SE-PCD-MV79-01/ 2024-25,2024_CCEBA_104905_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, No Relation and No Litigation Certificate, Affidavit and other document as per DTCN",17-Sep-2024 10:00 AM,08-Oct-2024 11:00 AM,17-Sep-2024 10:00 AM,07-Oct-2024 05:00 PM,NA ,NA ,17-Sep-2024 10:00 AM,07-Oct-2024 05:00 PM,"30,600",Yes,fixed,,Nil,Nil,1.0,Date Extended,Date,,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"S. E., Potteru Canal Division, M.V-79","Superintending Engineer, Potteru Canal Division, M.V-79","Repair of C.D at RD.41.2844Km and RD.41.869Km, De-silting and Strengthening of Canal at vulnerable reaches from RD.41.00 Km to RD.42.00Km of G.M.C","Repair of C.D at RD.41.2844Km and RD.41.869Km, De-silting and Strengthening of Canal at vulnerable reaches from RD.41.00 Km to RD.42.00Km of G.M.C",Please refer Tender documents. ,NA ,"30,54,000",Civil Works - Canal,NA ,Tender,90.0,150.0,MV 79,764087.0,NA ,NA ,NA ,"S. E., Potteru Canal Division, M.V-79",No ,No,AOC,19-Dec-2024,"INR 2,596,630",150.0,Ramakanta Patra,19-Dec-2024 05:08 PM,23.pdf (255.00 KB),Agreement drawn vide Agreement No. 32P1 / 2024-25 on dated 18.11.2024,1.0,2569454.0,KISHORE CHAKRABARTY,INR,"2,596,630",1,2570714,Amit Kumar Baul,07-Oct-2024 10:28 AM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,Finance,BID EVALUATION SUMMARY,Ramakanta Patra,11-Dec-2024 05:10 PM,,BOQ Comparative Chart,Er. Sanoj Sahu S.E.,Internal,"Er. Sanoj Sahu S.E., Er. Rahan Singh AEE (Estimator), Sri. Ashish Kumar (DAO)",Ramakanta Patra,11-Dec-2024 08:29 PM,finsummary_506840.pdf (418.11 KB),"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",2024_CCEBA_104905_23,SE-PCD-MV79-01/ 2024-25,"Repair of C.D at RD.41.2844Km and RD.41.869Km, De-silting and Strengthening of Canal at vulnerable reaches from RD.41.00 Km to RD.42.00Km of G.M.C",Er. Sanoj Sahu S.E.,Internal,"Er. Sanoj Sahu S.E., Er. Rahan Singh AEE (Estimator), Sri. Ashish Kumar (DAO)",Ramakanta Patra,11-Dec-2024 05:23 PM,techsummary_506840.pdf (961.38 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2568895,ASHOK KUMAR HALDAR,07-Oct-2024 04:26 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2557794,BHAGABATI SWAR,24-Sep-2024 07:26 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2560270,BISWAJIT DHALI,02-Oct-2024 06:14 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2566439,BITASHOK SWAIN,03-Oct-2024 08:09 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2569089,CHITTA RANJAN SARKAR,06-Oct-2024 12:59 AM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2561171,DEEPAK KUMAR SETHI,27-Sep-2024 03:11 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2551965,Deepa Ray,19-Sep-2024 07:51 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2561015,GITANJALI PADHAN,04-Oct-2024 02:25 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2566227,Haripad Majumdar,02-Oct-2024 08:11 PM,Rejected-Technical,Rejected in Transparent Lottery,11-Dec-2024 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
