Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",EPROC.TENDERCALL NOTICE NO.PID01OF202425,2024_CELBB_103656_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost,EMD,Valid RC,Active GSTN, PAN,Affidavit for Each Work,NRC,Otherdocument asperDTCN",15-Jul-2024 10:30 AM,26-Jul-2024 10:30 AM,15-Jul-2024 10:30 AM,25-Jul-2024 05:30 PM,15-Jul-2024 10:30 AM ,25-Jul-2024 05:30 PM ,15-Jul-2024 10:30 AM,25-Jul-2024 05:30 PM,"29,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"SE,PURI IRRIGATION DIVISION, PURI","O/O THE SE,PURI IRRIGATION DIVISION, PURI, DELTA COLONY SECHAN VIHAR, PO-SHREE VIHAR, PURI -752003",PID-16 Restoration and protection to Nuapada saline gherry from RD 2.700 km to 2.865 km,Restoration and protection to Nuapada saline gherry from RD 2.700 km to 2.865 km,Please refer Tender documents. ,NA ,"29,02,718",Civil Works - Others,SALINE EMBANKMENT ,Tender,90.0,180.0,PURI,752003.0,NA ,NA ,NA ,"O/OTHE SE,PURI IRRIGATION DIVISION, PURI",No ,No,AOC,18-Oct-2024,"INR 2,902,718",180.0,AMIYA KUMAR SETH,09-Jan-2025 09:26 PM,Pid16.pdf (430.00 KB),AOC,1.0,2515023.0,UMESH PRADHAN,INR,"2,467,601",1,2518242,ARATI NALINI SWAIN,24-Jul-2024 08:09 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,Finance,ALL BIDS ARE OPENING SUCCESSFULLY,Shatabdi Choudhury,21-Aug-2024 01:03 AM,,BOQ Comparative Chart,ER. AMIYA KUMAR SETH,Internal,"ER. AMIYA KUMAR SETH, SE, PID, PURI ER. SHATABDI CHOUDHURY, AEE, ESTIMATOR, ER. DURGAMADHAB MISHRA, AE, ESTIMATOR, SRI MANOJ KUMAR CHOUDHURY, SR. DAO",Shatabdi Choudhury,06-Sep-2024 06:52 PM,finsummary_502962.pdf (55.40 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",2024_CELBB_103656_16,EPROC.TENDERCALL NOTICE NO.PID01OF202425,PID-16 Restoration and protection to Nuapada saline gherry from RD 2.700 km to 2.865 km,ER. AMIYA KUMAR SETH,Internal,"ER. AMIYA KUMAR SETH, SE, PID, PURI ER. SHATABDI CHOUDHURY, AEE, ESTIMATOR, ER. DURGAMADHAB MISHRA, AE, ESTIMATOR, SRI MANOJ KUMAR CHOUDHURY, SR. DAO",Shatabdi Choudhury,21-Aug-2024 01:06 AM,techsummary_502962.pdf (55.40 KB),AOC
,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2519158,Arnnapurna Agency Prop.Baikunth Jena,25-Jul-2024 04:39 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2517142,BIKASH MAJHEE,25-Jul-2024 02:48 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2515103,BINAPANI SAHOO,22-Jul-2024 11:33 AM,Rejected-Technical,REJECT,21-Aug-2024 01:06 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2517199,CLAVAX POWER PRIVATE LIMITED,24-Jul-2024 01:48 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2516979,Debasis Mahapatro,23-Jul-2024 11:25 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2519177,DIBYAJIT DAS,25-Jul-2024 04:48 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2516519,GYANA RANJAN NAYAK,22-Jul-2024 04:33 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2518301,JAGAT JIBAN SARANGI,24-Jul-2024 10:01 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2516863,KEERTI CHANDRA PANDA,23-Jul-2024 12:05 PM,Rejected-Finance,Reject,06-Sep-2024 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
