Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP-Online-03/2024-25,2024_CERWI_106174_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIN, Affidavit and as per DTCN",30-Oct-2024 10:00 AM,14-Nov-2024 11:00 AM,30-Oct-2024 10:00 AM,13-Nov-2024 03:00 PM,30-Oct-2024 10:00 AM ,13-Nov-2024 03:00 PM ,30-Oct-2024 10:00 AM,13-Nov-2024 03:00 PM,20-Dec-2024 10:00 AM,"67,798",Yes,percentage,1.0%,Nil,Nil,1.0,Extension of last date of submission of bid and the date of opening,Date,,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Superintending Engineer,"O/o the SE, RW Division-I, Nabarangpur","SR to Kongra to Timanpur road such as SDBC, Berm maintenance and CD maintenance (Ch-0/000 to 6/000 Km) in Tentulikhunti Block for the year 2024-25","SR to Kongra to Timanpur road such as SDBC, Berm maintenance and CD maintenance (Ch-0/000 to 6/000 Km) in Tentulikhunti Block for the year 2024-25",Please refer tender documents ,NA ,"67,79,800",Civil Works - Roads,NA ,Tender,90.0,60.0,Tentulikhunti Block,764070.0,NA ,NA ,NA ,"O/o the SE, RW Division-I, Nabarangpur",No ,No,AOC,09-Jan-2025,"INR 6,779,800",60.0,Debarsi Naik,13-Jan-2025 04:32 PM,02.pdf (249.00 KB),1.0,2644181.0,SAHIL KHAN,INR,"5,763,508",1,2622537,BISHNU CHARAN NAYAK,12-Nov-2024 10:03 AM,Rejected-Technical,Technically Disqualified under eligibility criteria as per DTCN Format 2.7 a towards similar nature of works,18-Dec-2024 07:21 PM,Finance,Financial Bid Opening,Nibedita Tadingi,24-Dec-2024 01:41 PM,finance_513179.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Estimator, DAO, SE",Nibedita Tadingi,24-Dec-2024 02:02 PM,finsummary_513179.pdf (479.47 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2024_CERWI_106174_2,EERWNGP-Online-03/2024-25,"SR to Kongra to Timanpur road such as SDBC, Berm maintenance and CD maintenance (Ch-0/000 to 6/000 Km) in Tentulikhunti Block for the year 2024-25",Technical,Bid opening,Nibedita Tadingi,09-Dec-2024 06:46 PM,technical_513179.pdf,Superintending Engineer,Internal,"Estimator, DAO, SE",Nibedita Tadingi,18-Dec-2024 07:21 PM,20-Dec-2024 10:00 AM,techsummary_513179.pdf (193.59 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Required machineris and Work experience as per DTCN,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2639119,B OMKAR,11-Nov-2024 09:40 PM,Rejected-AOC,Disqualified in Transparent Lottery,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2643566,HITESH KUMAR SHARMA,13-Nov-2024 01:30 PM,Rejected-Technical,Technically Disqualified under eligibility criteria as per DTCN Format 2.7 a towards similar nature of works,18-Dec-2024 07:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2638535,KISTO HARIJAN,11-Nov-2024 01:35 PM,Rejected-AOC,Disqualified in Transparent Lottery,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2610459,NIHAR RANJAN JENA,03-Nov-2024 07:08 PM,Rejected-AOC,Disqualified in Transparent Lottery,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2644181,SAHIL KHAN,13-Nov-2024 02:10 PM,Accepted-AOC,Awarded of Contract,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2640673,S.ANIL KUMAR,11-Nov-2024 10:53 PM,Rejected-AOC,Disqualified in Transparent Lottery,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2640286,SIMANCHAL GOUDA,12-Nov-2024 12:35 PM,Rejected-Technical,Technically Disqualified under eligibility criteria as per DTCN Format 2.7 a towards similar nature of works,18-Dec-2024 07:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2640962,SIVARAM KRISHNA BISSOYI,12-Nov-2024 10:05 AM,Rejected-AOC,Disqualified in Transparent Lottery,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2643041,SOFIA BEGUM,12-Nov-2024 08:46 PM,Rejected-AOC,Disqualified in Transparent Lottery,13-Jan-2025 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
