Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Nawarangpur,04/2024-2025/dt.10/12/2024,2024_RWSS_108444_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"EMD,COST OF TENDER PAPER,GST,SOLVANCY CERTIFICATE,PANCARD,TURN OVER CERTIFICATE ETC AS PER DTCN",18-Dec-2024 09:00 AM,30-Dec-2024 11:00 AM,18-Dec-2024 09:00 AM,27-Dec-2024 05:00 PM,18-Dec-2024 09:00 AM ,26-Dec-2024 05:00 PM ,18-Dec-2024 09:00 AM,27-Dec-2024 05:00 PM,27-Feb-2025 09:00 AM,"3,12,020",Yes,fixed,,Nil,Nil,1.0,WORK NAME CHANGE IN TENDER NOTICE AND DTCN,Technical Bid,,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"EXECUTIVE ENGINEER,RWSS DVISION,NABARANGPUR","EXECUTIVE ENGINEER,RWSS DVISION OFFICE NEAR CHINA MARKET",EXECUTION OF RPWS TO VILLAGE SUNABEDA PH-1 OF SUNABEDA G.P UNDER RAIGHAR BLOCK IN NABARANGPUR DISTRICT INCLUDING 5 YEARS O AND M. (NEW),EXECUTION OF RPWS TO VILLAGE SUNABEDA PH-1 OF SUNABEDA G.P UNDER RAIGHAR BLOCK IN NABARANGPUR DISTRICT INCLUDING 5 YEARS O AND M. (NEW),Please refer Tender documents. ,NA ,"3,12,02,029",Civil Works - Water Works,NA ,Tender,180.0,NA ,NABARANGPUR,764059.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER,RWSS DVISION,NABARANGPUR",No ,No,AOC,10-Apr-2025,"INR 26,524,844",300.0,Pratik Kumar Rout,10-Apr-2025 08:19 PM,SUNABEDA.AOC.pdf (680.00 KB),1.0,2712873.0,PRASANT KUMAR SAHOO,INR,"26,524,844",1,2713765,ABHISEK KUMAR AGRAWAL,27-Dec-2024 04:38 PM,Rejected-Technical,B Value not certified by the CA and EE as per DTCN,26-Feb-2025 07:22 PM,Finance,ALL THE 6 NOS. OF BIDDERS ARE ADMITTED,Pratik Kumar Rout,27-Feb-2025 09:45 AM,,BOQ Comparative Chart,ACE RWSS Circle Koraput,Internal,EE RWSS Circle Koraput AEE RWSS Circle Koraput EE RWSS Nabarangpur DAO RWSS Nabarangpur AEE RWSS Nabarangpur AE RWSS Nabarangpur,Pratik Kumar Rout,10-Apr-2025 08:03 PM,finsummary_520940.pdf (412.16 KB),Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Nawarangpur,2024_RWSS_108444_6,04/2024-2025/dt.10/12/2024,EXECUTION OF RPWS TO VILLAGE SUNABEDA PH-1 OF SUNABEDA G.P UNDER RAIGHAR BLOCK IN NABARANGPUR DISTRICT INCLUDING 5 YEARS O AND M. (NEW),Technical,TOTAL 12 NOS. OF BIDS ARE SUBMITTED AND ALL THE 12 NOS. OF BIDS ARE ADMITTED,Pratik Kumar Rout,30-Dec-2024 06:36 PM,,Additional Chief Engineer RWSS Circle Koraput,Internal,ACE RWSS Circle Koraput EE RWSS Circle Koraput AEE RWSS Circle Koraput EE RWSS Nabarangpur DAO RWSS Nabarangpur AEE RWSS Nabarangpur AE RWSS Nabarangpur,Pratik Kumar Rout,26-Feb-2025 07:22 PM,27-Feb-2025 09:00 AM,techsummary_520940.pdf (2260.55 KB),AOC
,,,,,,,,,,,,,,,,.pdf,"EXPERIENCE CERTIFICATE,EPF,NO RELATIONSHIP AND NO LITIGATION CERTIFICATE IN AFFIDAVIT AS PER DTCN",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2713944,BENUDHAR SUBUDHI,27-Dec-2024 04:48 PM,Rejected-Technical,"B Value not certified by the CA and EE as per DTCN, Technical Capacity of the bidder is insufficient and Labour licence or undertaking not uploaded",26-Feb-2025 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2712699,BIKRAM KUMAR GUPTA,27-Dec-2024 04:26 PM,Rejected-Finance,L3 BIDDER,10-Apr-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2713031,KAPILENDRA SAHOO,27-Dec-2024 01:29 PM,Rejected-Technical,Labour licence or undertaking not uploaded,26-Feb-2025 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2712971,M/S SAI VAISHNAVI BUILDCON,27-Dec-2024 11:17 AM,Rejected-AOC,2ND LOWEST BIDDER,10-Apr-2025 08:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2713440,M/s Sarat Chandro Patnaik,27-Dec-2024 03:23 PM,Rejected-Technical,Financial Turnover certificate statement mismatch with online UDIN verification portal,26-Feb-2025 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2710342,NABIN NAYAK,26-Dec-2024 04:56 PM,Rejected-Finance,L3 BIDDER,10-Apr-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2712873,PRASANT KUMAR SAHOO,27-Dec-2024 11:55 AM,Accepted-AOC,1ST LOWEST BIDDER,10-Apr-2025 08:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2713278,SANJAYA KUMAR PANIGRAHI,27-Dec-2024 12:46 PM,Rejected-Finance,L3 BIDDER,10-Apr-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2707241,SHARVAN KUMAR JHA,25-Dec-2024 01:13 PM,Rejected-Technical,B Value not certified by the CA and EE as per DTCN,26-Feb-2025 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
