Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
WATCO Bhubaneswar||Director (Projects) Watco,WATCO (P)-3(4)/2024-25 Dtd.26.03.2025,2025_DPWTC_112160_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",05-Apr-2025 11:00 AM,03-May-2025 12:30 PM,05-Apr-2025 11:00 AM,02-May-2025 05:00 PM,NA ,NA ,05-Apr-2025 11:00 AM,02-May-2025 05:00 PM,10-Jun-2025 11:30 AM,"2,27,000",Yes,fixed,,Nil,Nil,1.0,Corrigendum,Date,,1.0,ICICI BANK,"11,800",Nil,Nil,No,Director Projects,"The Director Projects, Office of the Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444","Implementation of 24x7 water supply to Patia Village area in Ward No-3 of BMC, Bhubaneswar","Implementation of 24x7 water supply to Patia Village area in Ward No-3 of BMC, Bhubaneswar",Please refer Tender documents. ,NA ,"2,26,78,000",Civil Works - Water Works,NA ,Tender,120.0,270.0,"Patia Village, Bhubaneswar",751024.0,NA ,NA ,NA ,Bhubaneswar,No ,No,AOC,30-Jul-2025,"INR 19,278,947",270.0,Debabrata Mohanty,30-Jul-2025 12:16 PM,AOC.pdf (792.00 KB),1.0,2888998.0,SABITA JENA,INR,"19,278,947",1,2903820,ASCENSOR LIFTS AND AUTOMATION PRIVATE LIMITED,02-May-2025 01:56 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,Finance,Eleven no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,10-Jun-2025 12:20 PM,,BOQ Comparative Chart,Director-Project,Internal,,Debabrata Mohanty,30-Jul-2025 12:10 PM,finsummary_535248.pdf (1507.78 KB),WATCO Bhubaneswar||Director (Projects) Watco,2025_DPWTC_112160_1,WATCO (P)-3(4)/2024-25 Dtd.26.03.2025,"Implementation of 24x7 water supply to Patia Village area in Ward No-3 of BMC, Bhubaneswar",Technical,Eleven no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,03-May-2025 01:54 PM,,Director-Project,Internal,,Debabrata Mohanty,06-Jun-2025 06:13 PM,10-Jun-2025 11:30 AM,techsummary_535248.pdf (2410.14 KB),AOC
,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2903850,BALAJI SOLAR SYSTEMS,02-May-2025 02:56 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2882920,CHANDRABHANU BISWAL,17-Apr-2025 12:24 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2902980,DEBAKANTA MALLICK,01-May-2025 12:10 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2884727,DEBASH KUMAR SIA,21-Apr-2025 11:04 AM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2888027,Drite Automation and Engineering,18-Apr-2025 03:02 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2902895,RANJIT KUMAR SWAIN,02-May-2025 12:25 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2888998,SABITA JENA,30-Apr-2025 12:38 PM,Accepted-AOC,Lowest bidder in Lottery,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2903106,SANGRAM SWAIN,01-May-2025 01:11 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2903781,SOUBHAGYA KUMAR JENA,02-May-2025 01:11 PM,Rejected-AOC,Not a lowest bidder,30-Jul-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
